time,motion,distance
1683463843.2856717,1,0.92
1683463844.3811913,0,0.92
1683463845.635221,0,0.92
1683463846.8634512,0,0.92
1683463848.0936916,1,0.92
1683463849.1866636,0,0.90
1683463850.344454,0,0.92
1683463851.5741453,0,0.92
1683463852.6619098,0,0.92
1683463853.8264947,1,0.92
1683463855.056031,0,0.90
1683463856.1720467,0,0.92
1683463857.2643623,0,0.90
1683463858.3567822,1,0.92
1683463859.7094314,0,0.90
1683463860.9940538,0,0.90
1683463862.2235146,0,0.90
1683463863.6568332,1,0.92
1683463864.8870182,0,0.92
1683463866.1151967,0,0.92
1683463867.2141604,0,0.90
1683463868.3741302,1,0.92
1683463869.459905,0,3.28
1683463870.6207585,0,3.28
1683463871.8539724,0,0.92
1683463872.9427602,1,0.90
1683463874.1001344,0,0.90
1683463875.1831052,0,0.92
1683463876.273706,0,0.92
1683463877.367672,0,0.90
1683463878.4579623,1,0.92
1683463879.6314166,0,0.92
1683463880.961403,0,0.92
1683463882.1350532,0,3.28
1683463883.5209846,1,0.92
1683463884.751391,0,0.92
1683463885.9786367,0,0.90
1683463887.0712283,0,0.92
1683463888.1632168,1,3.28
1683463889.2615824,0,0.92
1683463890.4852686,0,0.92
1683463891.8143904,0,0.92
1683463893.1496806,0,3.28
1683463894.3763845,0,0.90
1683463895.6114647,0,0.92
1683463896.8345835,0,0.92
1683463898.2673812,0,3.28
1683463899.703233,0,0.90
1683463900.9314437,0,0.92
1683463902.0287473,0,0.92
1683463903.1250849,1,3.28
1683463904.4101603,0,3.28
1683463905.503212,0,0.92
1683463906.6093392,0,0.92
1683463907.694863,0,0.90
1683463908.9160473,1,0.92
1683463910.1454797,0,0.90
1683463911.2432082,0,0.90
1683463912.401279,0,0.92
1683463913.626535,1,0.90
1683463914.726239,0,0.90
1683463915.8797135,0,3.28
1683463916.968056,0,0.90
1683463918.1315577,0,0.90
1683463919.3609316,1,0.92
1683463920.4419458,0,0.92
1683463921.5343685,0,3.28
1683463922.695925,0,0.92
1683463923.910058,1,0.90
1683463925.3002548,0,0.90
1683463926.4478717,0,0.92
1683463927.7597144,0,0.90
1683463928.986242,1,0.92
1683463930.2143707,0,0.90
1683463931.462523,0,3.28
1683463932.878102,0,0.92
1683463933.9617834,1,0.90
1683463935.1301694,0,0.92
1683463936.3592966,0,0.92
1683463937.4444084,0,0.92
1683463938.616605,1,0.92
1683463939.7054136,0,0.92
1683463940.8647156,0,3.28
1683463941.9519174,0,0.92
